Date,Open,High,Low,Close,Adj Close,Volume,Stock
2021-04-26,1413.0,1429.0,1402.75,1404.800049,1398.746216,15085476.0,HDFC
2021-04-27,1407.25,1442.0,1404.800049,1438.699951,1432.5001220000001,10296453.0,HDFC
2021-04-28,1436.25,1479.0,1431.0,1476.800049,1470.436035,12051970.0,HDFC
2021-04-29,1486.199951,1503.650024,1461.0,1472.5,1466.154419,12039276.0,HDFC
2021-04-30,1445.0,1453.800049,1407.5,1412.300049,1406.213989,17616451.0,HDFC
2021-05-03,1393.0,1421.900024,1377.300049,1414.449951,1408.354614,11236850.0,HDFC
2021-05-04,1409.949951,1423.0,1383.300049,1388.349976,1382.3670650000001,10743164.0,HDFC
2021-05-05,1401.0,1409.599976,1381.699951,1402.599976,1396.555664,7210806.0,HDFC
2021-05-06,1407.599976,1410.800049,1395.0,1400.900024,1394.8630369999998,5738522.0,HDFC
2021-05-07,1412.949951,1424.949951,1410.25,1414.75,1408.65332,6024167.0,HDFC
2021-05-10,1427.0,1430.0,1412.800049,1419.849976,1413.731323,5530025.0,HDFC
2021-05-11,1396.0,1424.199951,1395.050049,1403.550049,1397.501709,7259517.0,HDFC
2021-05-12,1399.75,1408.599976,1388.849976,1399.5,1393.469116,6887463.0,HDFC
2021-05-14,1394.349976,1398.900024,1382.349976,1386.849976,1380.873535,5302071.0,HDFC
2021-05-17,1395.150024,1442.599976,1381.300049,1440.25,1434.043457,7560346.0,HDFC
2021-05-18,1458.949951,1482.75,1455.0,1476.699951,1470.336304,11082640.0,HDFC
2021-05-19,1470.199951,1478.849976,1452.550049,1458.199951,1451.9160160000001,5065458.0,HDFC
2021-05-20,1458.349976,1465.900024,1428.5,1432.800049,1426.62561,5342092.0,HDFC
2021-05-21,1443.0,1501.900024,1443.0,1497.300049,1490.8476560000001,9670823.0,HDFC
2021-05-24,1503.25,1520.449951,1498.5,1509.949951,1503.442993,11073051.0,HDFC
2021-05-25,1510.5,1513.75,1470.5,1478.949951,1472.57666,9618487.0,HDFC
2021-05-26,1480.0,1487.0,1470.0,1477.050049,1470.684937,6141995.0,HDFC
2021-05-27,1473.099976,1489.0,1462.449951,1482.650024,1476.260742,10219748.0,HDFC
2021-05-28,1490.900024,1513.0,1478.75,1503.449951,1496.971069,8875010.0,HDFC
2021-05-31,1500.0,1519.5,1487.5,1515.849976,1509.317627,7830527.0,HDFC
2021-06-01,1520.300049,1527.0,1507.25,1511.699951,1505.185547,5515081.0,HDFC
2021-06-02,1510.0,1510.199951,1493.0,1504.0,1497.518677,5312008.0,HDFC
2021-06-03,1508.0,1524.949951,1487.75,1520.550049,1513.997437,5143630.0,HDFC
2021-06-04,1516.0,1520.650024,1499.199951,1500.949951,1494.481812,4712238.0,HDFC
2021-06-07,1510.0,1514.0,1496.0,1499.849976,1493.3865970000002,4045834.0,HDFC
2021-06-08,1496.550049,1501.300049,1481.5,1483.050049,1476.659058,4936270.0,HDFC
2021-06-09,1483.900024,1502.0,1472.050049,1480.300049,1473.920898,5111721.0,HDFC
2021-06-10,1482.099976,1489.0,1473.650024,1481.050049,1474.667725,5741770.0,HDFC
2021-06-11,1491.0,1496.550049,1481.050049,1486.349976,1479.944824,3602987.0,HDFC
2021-06-14,1478.25,1486.0,1462.550049,1479.449951,1473.0744630000002,4440982.0,HDFC
2021-06-15,1486.0,1496.0,1474.800049,1490.25,1483.8280029999999,3784801.0,HDFC
2021-06-16,1488.0,1494.0,1478.099976,1484.599976,1478.202271,3851049.0,HDFC
2021-06-17,1466.0,1478.75,1460.0,1466.099976,1459.781982,4641901.0,HDFC
2021-06-18,1469.5,1490.0,1455.0,1479.800049,1473.423096,5969030.0,HDFC
2021-06-21,1461.349976,1491.800049,1459.0,1488.699951,1482.284668,3630236.0,HDFC
2021-06-22,1497.0,1508.0,1480.0,1483.800049,1477.405884,7183412.0,HDFC
2021-06-23,1490.0,1497.800049,1478.599976,1485.5,1479.098511,3922434.0,HDFC
2021-06-24,1490.0,1513.449951,1488.0,1506.25,1499.759033,7392512.0,HDFC
2021-06-25,1511.099976,1522.0,1507.0,1515.099976,1508.570923,5191588.0,HDFC
2021-06-28,1520.0,1523.0,1505.0,1508.349976,1501.849976,4678393.0,HDFC
2021-06-29,1507.0,1508.199951,1492.150024,1502.050049,1502.050049,5485846.0,HDFC
2021-06-30,1498.0,1509.0,1494.099976,1497.900024,1497.900024,4839511.0,HDFC
2021-07-01,1502.0,1502.0,1489.050049,1491.25,1491.25,4315982.0,HDFC
2020-07-02,366.0,370.899994,361.350006,362.850006,362.850006,50964311.0,ICICI
2020-07-03,364.649994,367.149994,359.799988,361.0,361.0,28779044.0,ICICI
2020-07-06,367.850006,367.850006,360.5,361.850006,361.850006,33334074.0,ICICI
2020-07-07,363.0,378.0,362.100006,376.049988,376.049988,46030825.0,ICICI
2020-07-08,377.899994,379.0,367.549988,368.950012,368.950012,46315597.0,ICICI
